bfvd_entry	accession	virus_taxid	virus_name	host_taxid	host_name	host_bucket
A0A9E7T2F7_unrelaxed_rank_001_alphafold2_ptm_model_3_seed_000.pdb	A0A9E7T2F7	2951239	Escherichia phage UE-S1	562	Escherichia coli	bacteria
A0A9E7T3Q2_unrelaxed_rank_001_alphafold2_ptm_model_3_seed_000.pdb	A0A9E7T3Q2	2006925	Escherichia phage ST2	562	Escherichia coli	bacteria
A0A9E7T5W0_unrelaxed_rank_001_alphafold2_ptm_model_2_seed_000.pdb	A0A9E7T5W0	2006925	Escherichia phage ST2	562	Escherichia coli	bacteria
A0A9E7T620_unrelaxed_rank_001_alphafold2_ptm_model_1_seed_000.pdb	A0A9E7T620	2006925	Escherichia phage ST2	562	Escherichia coli	bacteria
A0A125RPT6_unrelaxed_rank_001_alphafold2_ptm_model_1_seed_000.pdb	A0A125RPT6	1777071	Escherichia phage phiON-2011	1038927	Escherichia coli O104:H4	bacteria
A0A1P8DUP0_unrelaxed_rank_001_alphafold2_ptm_model_3_seed_000.pdb	A0A1P8DUP0	1933412	Escherichia phage vB_EcoS-IME253	562	Escherichia coli	bacteria
A0A1P8DUP8_unrelaxed_rank_001_alphafold2_ptm_model_3_seed_000.pdb	A0A1P8DUP8	1933412	Escherichia phage vB_EcoS-IME253	562	Escherichia coli	bacteria
A0A1P8DUU2_unrelaxed_rank_001_alphafold2_ptm_model_2_seed_000.pdb	A0A1P8DUU2	1933412	Escherichia phage vB_EcoS-IME253	562	Escherichia coli	bacteria
A0A1P8DUU9_unrelaxed_rank_001_alphafold2_ptm_model_3_seed_000.pdb	A0A1P8DUU9	1933412	Escherichia phage vB_EcoS-IME253	562	Escherichia coli	bacteria
A0A2K9VLZ7_unrelaxed_rank_001_alphafold2_ptm_model_4_seed_000.pdb	A0A2K9VLZ7	2024310	Shigella phage Sf25	83333	Escherichia coli K-12	bacteria
A0A2K9VLZ8_unrelaxed_rank_001_alphafold2_ptm_model_3_seed_000.pdb	A0A2K9VLZ8	2024310	Shigella phage Sf25	83333	Escherichia coli K-12	bacteria
A0A2K9VM13_unrelaxed_rank_001_alphafold2_ptm_model_3_seed_000.pdb	A0A2K9VM13	2024310	Shigella phage Sf25	83333	Escherichia coli K-12	bacteria
A0A2K9VM14_unrelaxed_rank_001_alphafold2_ptm_model_1_seed_000.pdb	A0A2K9VM14	2024310	Shigella phage Sf25	83333	Escherichia coli K-12	bacteria
A0A2K9VM35_unrelaxed_rank_001_alphafold2_ptm_model_1_seed_000.pdb	A0A2K9VM35	2024310	Shigella phage Sf25	83333	Escherichia coli K-12	bacteria
A0A2K9VM38_unrelaxed_rank_001_alphafold2_ptm_model_1_seed_000.pdb	A0A2K9VM38	2024310	Shigella phage Sf25	83333	Escherichia coli K-12	bacteria
A0A2K9VM46_unrelaxed_rank_001_alphafold2_ptm_model_1_seed_000.pdb	A0A2K9VM46	2024310	Shigella phage Sf25	83333	Escherichia coli K-12	bacteria
A0A2K9VMB2_unrelaxed_rank_001_alphafold2_ptm_model_2_seed_000.pdb	A0A2K9VMB2	2024310	Shigella phage Sf25	83333	Escherichia coli K-12	bacteria
A0A2K9VMB4_unrelaxed_rank_001_alphafold2_ptm_model_3_seed_000.pdb	A0A2K9VMB4	2024310	Shigella phage Sf25	83333	Escherichia coli K-12	bacteria
A0A2K9VME3_unrelaxed_rank_001_alphafold2_ptm_model_3_seed_000.pdb	A0A2K9VME3	2024310	Shigella phage Sf25	83333	Escherichia coli K-12	bacteria
A0A1J1J8Q6_unrelaxed_rank_001_alphafold2_ptm_model_2_seed_000.pdb	A0A1J1J8Q6	1720506	Clostridium phage slur17	562	Escherichia coli	bacteria
A0A345AQE7_unrelaxed_rank_001_alphafold2_ptm_model_2_seed_000.pdb	A0A345AQE7	2783859	Escherichia phage Vec13	562	Escherichia coli	bacteria
A0A494RI20_unrelaxed_rank_001_alphafold2_ptm_model_3_seed_000.pdb	A0A494RI20	2144178	Escherichia phage vB_EcoS-Ro145c2YLVW	562	Escherichia coli	bacteria
A0A4Y5TXT3_unrelaxed_rank_001_alphafold2_ptm_model_3_seed_000.pdb	A0A4Y5TXT3	2576873	Escherichia phage vB_EcoM-ECP26	562	Escherichia coli	bacteria
A0A7S6HT08_unrelaxed_rank_001_alphafold2_ptm_model_3_seed_000.pdb	A0A7S6HT08	2772055	Escherichia phage JEP6	562	Escherichia coli	bacteria
A0A7S6HT14_unrelaxed_rank_001_alphafold2_ptm_model_2_seed_000.pdb	A0A7S6HT14	2772056	Escherichia phage JEP7	562	Escherichia coli	bacteria
A0A7S6HT25_unrelaxed_rank_001_alphafold2_ptm_model_2_seed_000.pdb	A0A7S6HT25	2772057	Escherichia phage JEP8	562	Escherichia coli	bacteria
A0A7S6HT79_unrelaxed_rank_001_alphafold2_ptm_model_1_seed_000.pdb	A0A7S6HT79	2772057	Escherichia phage JEP8	562	Escherichia coli	bacteria
A0A7S6HUW0_unrelaxed_rank_001_alphafold2_ptm_model_3_seed_000.pdb	A0A7S6HUW0	2759218	Escherichia phage JEP1	562	Escherichia coli	bacteria
A0A7S6HV27_unrelaxed_rank_001_alphafold2_ptm_model_3_seed_000.pdb	A0A7S6HV27	2759218	Escherichia phage JEP1	562	Escherichia coli	bacteria
A0A7S6HV34_unrelaxed_rank_001_alphafold2_ptm_model_2_seed_000.pdb	A0A7S6HV34	2759218	Escherichia phage JEP1	562	Escherichia coli	bacteria
A0A7S6HV52_unrelaxed_rank_001_alphafold2_ptm_model_3_seed_000.pdb	A0A7S6HV52	2759218	Escherichia phage JEP1	562	Escherichia coli	bacteria
A0A7S6HV70_unrelaxed_rank_001_alphafold2_ptm_model_3_seed_000.pdb	A0A7S6HV70	2759218	Escherichia phage JEP1	562	Escherichia coli	bacteria
A0A7S6HV79_unrelaxed_rank_001_alphafold2_ptm_model_1_seed_000.pdb	A0A7S6HV79	2759218	Escherichia phage JEP1	562	Escherichia coli	bacteria
A0A482GG74_unrelaxed_rank_001_alphafold2_ptm_model_3_seed_000.pdb	A0A482GG74	2502307	Escherichia phage EdH4	562	Escherichia coli	bacteria
A0A482GG96_unrelaxed_rank_001_alphafold2_ptm_model_3_seed_000.pdb	A0A482GG96	2502409	Escherichia phage vB_EcoM_Goslar	562	Escherichia coli	bacteria
A0A482GGB4_unrelaxed_rank_001_alphafold2_ptm_model_2_seed_000.pdb	A0A482GGB4	2502411	Escherichia phage vB_EcoM_G2494	562	Escherichia coli	bacteria
A0A482GGD0_unrelaxed_rank_001_alphafold2_ptm_model_2_seed_000.pdb	A0A482GGD0	2502411	Escherichia phage vB_EcoM_G2494	562	Escherichia coli	bacteria
A0A482GGD5_unrelaxed_rank_001_alphafold2_ptm_model_2_seed_000.pdb	A0A482GGD5	2502411	Escherichia phage vB_EcoM_G2494	562	Escherichia coli	bacteria
A0A482GGE5_unrelaxed_rank_001_alphafold2_ptm_model_3_seed_000.pdb	A0A482GGE5	2502411	Escherichia phage vB_EcoM_G2494	562	Escherichia coli	bacteria
A0A482GGF6_unrelaxed_rank_001_alphafold2_ptm_model_1_seed_000.pdb	A0A482GGF6	2502412	Escherichia phage vB_EcoM_G37-3	562	Escherichia coli	bacteria
A0A482GGF7_unrelaxed_rank_001_alphafold2_ptm_model_3_seed_000.pdb	A0A482GGF7	2502412	Escherichia phage vB_EcoM_G37-3	562	Escherichia coli	bacteria
A0A482GGP3_unrelaxed_rank_001_alphafold2_ptm_model_3_seed_000.pdb	A0A482GGP3	2502301	Escherichia phage vB_EcoM_G4498	562	Escherichia coli	bacteria
A0A482GGR9_unrelaxed_rank_001_alphafold2_ptm_model_3_seed_000.pdb	A0A482GGR9	2502409	Escherichia phage vB_EcoM_Goslar	562	Escherichia coli	bacteria
A0A7S9SUJ1_unrelaxed_rank_001_alphafold2_ptm_model_1_seed_000.pdb	A0A7S9SUJ1	2736365	Escherichia phage phi2013	562	Escherichia coli	bacteria
A0A8A4VDN1_unrelaxed_rank_001_alphafold2_ptm_model_3_seed_000.pdb	A0A8A4VDN1	2815753	Escherichia phage vB_EcoM_fHy-Eco03	562	Escherichia coli	bacteria
A0A8A4VDR3_unrelaxed_rank_001_alphafold2_ptm_model_2_seed_000.pdb	A0A8A4VDR3	2815753	Escherichia phage vB_EcoM_fHy-Eco03	562	Escherichia coli	bacteria
A0A8A4VDR8_unrelaxed_rank_001_alphafold2_ptm_model_3_seed_000.pdb	A0A8A4VDR8	2815753	Escherichia phage vB_EcoM_fHy-Eco03	562	Escherichia coli	bacteria
A0A8A4VDU9_unrelaxed_rank_001_alphafold2_ptm_model_3_seed_000.pdb	A0A8A4VDU9	2815753	Escherichia phage vB_EcoM_fHy-Eco03	562	Escherichia coli	bacteria
A0A8A4VDX1_unrelaxed_rank_001_alphafold2_ptm_model_3_seed_000.pdb	A0A8A4VDX1	2815753	Escherichia phage vB_EcoM_fHy-Eco03	562	Escherichia coli	bacteria
A0A8A4VF31_unrelaxed_rank_001_alphafold2_ptm_model_1_seed_000.pdb	A0A8A4VF31	2815753	Escherichia phage vB_EcoM_fHy-Eco03	562	Escherichia coli	bacteria
A0A8A4VF32_unrelaxed_rank_001_alphafold2_ptm_model_1_seed_000.pdb	A0A8A4VF32	2815753	Escherichia phage vB_EcoM_fHy-Eco03	562	Escherichia coli	bacteria
C4MYL9_unrelaxed_rank_001_alphafold2_ptm_model_2_seed_000.pdb	C4MYL9	576789	Escherichia phage JSE	83333	Escherichia coli K-12	bacteria
C4MYQ4_unrelaxed_rank_001_alphafold2_ptm_model_1_seed_000.pdb	C4MYQ4	576789	Escherichia phage JSE	83333	Escherichia coli K-12	bacteria
C4MYS5_unrelaxed_rank_001_alphafold2_ptm_model_3_seed_000.pdb	C4MYS5	576789	Escherichia phage JSE	83333	Escherichia coli K-12	bacteria
C4MYT1_unrelaxed_rank_001_alphafold2_ptm_model_1_seed_000.pdb	C4MYT1	576789	Escherichia phage JSE	83333	Escherichia coli K-12	bacteria
C4MYT2_unrelaxed_rank_001_alphafold2_ptm_model_3_seed_000.pdb	C4MYT2	576789	Escherichia phage JSE	83333	Escherichia coli K-12	bacteria
C4MYT9_unrelaxed_rank_001_alphafold2_ptm_model_3_seed_000.pdb	C4MYT9	576789	Escherichia phage JSE	83333	Escherichia coli K-12	bacteria
C4MYU2_unrelaxed_rank_001_alphafold2_ptm_model_3_seed_000.pdb	C4MYU2	576789	Escherichia phage JSE	83333	Escherichia coli K-12	bacteria
C4MYW2_unrelaxed_rank_001_alphafold2_ptm_model_1_seed_000.pdb	C4MYW2	576789	Escherichia phage JSE	83333	Escherichia coli K-12	bacteria
C4MYZ2_unrelaxed_rank_001_alphafold2_ptm_model_3_seed_000.pdb	C4MYZ2	576789	Escherichia phage JSE	83333	Escherichia coli K-12	bacteria
C4MZ01_unrelaxed_rank_001_alphafold2_ptm_model_5_seed_000.pdb	C4MZ01	576789	Escherichia phage JSE	83333	Escherichia coli K-12	bacteria
A0A0A7RSW9_unrelaxed_rank_001_alphafold2_ptm_model_1_seed_000.pdb	A0A0A7RSW9	1567007	Escherichia phage DT571/2	562	Escherichia coli	bacteria
A0A0E3GMJ0_unrelaxed_rank_001_alphafold2_ptm_model_3_seed_000.pdb	A0A0E3GMJ0	1610837	Enterobacteria phage JenP1	83333	Escherichia coli K-12	bacteria
A0A0E3GMK5_unrelaxed_rank_001_alphafold2_ptm_model_1_seed_000.pdb	A0A0E3GMK5	1610838	Enterobacteria phage JenP2	83333	Escherichia coli K-12	bacteria
A0A0E3GML4_unrelaxed_rank_001_alphafold2_ptm_model_3_seed_000.pdb	A0A0E3GML4	1610836	Enterobacteria phage JenK1	83333	Escherichia coli K-12	bacteria
A0A0E3GMM2_unrelaxed_rank_001_alphafold2_ptm_model_3_seed_000.pdb	A0A0E3GMM2	1610836	Enterobacteria phage JenK1	83333	Escherichia coli K-12	bacteria
A0A0E3GMM3_unrelaxed_rank_001_alphafold2_ptm_model_2_seed_000.pdb	A0A0E3GMM3	1610836	Enterobacteria phage JenK1	83333	Escherichia coli K-12	bacteria
A0A0F6PKE9_unrelaxed_rank_001_alphafold2_ptm_model_2_seed_000.pdb	A0A0F6PKE9	1498172	Escherichia phage ECBP5	562	Escherichia coli	bacteria
A0A0F6PKI9_unrelaxed_rank_001_alphafold2_ptm_model_2_seed_000.pdb	A0A0F6PKI9	1498172	Escherichia phage ECBP5	562	Escherichia coli	bacteria
Q9T1P6_unrelaxed_rank_001_alphafold2_ptm_model_1_seed_000.pdb	Q9T1P6	2682836	Hamiltonella phage APSE-1	562	Escherichia coli	bacteria
Q9T1Q0_unrelaxed_rank_001_alphafold2_ptm_model_1_seed_000.pdb	Q9T1Q0	2682836	Hamiltonella phage APSE-1	562	Escherichia coli	bacteria
Q9T1Q9_unrelaxed_rank_001_alphafold2_ptm_model_1_seed_000.pdb	Q9T1Q9	2682836	Hamiltonella phage APSE-1	562	Escherichia coli	bacteria
Q9T1R4_unrelaxed_rank_001_alphafold2_ptm_model_1_seed_000.pdb	Q9T1R4	2682836	Hamiltonella phage APSE-1	562	Escherichia coli	bacteria
A0A3S7GSD3_unrelaxed_rank_001_alphafold2_ptm_model_3_seed_000.pdb	A0A3S7GSD3	2081604	Escherichia phage vB_EcoM-G28	562	Escherichia coli	bacteria
A0A494WDU2_unrelaxed_rank_001_alphafold2_ptm_model_2_seed_000.pdb	A0A494WDU2	2184265	Escherichia phage SP15	83334	Escherichia coli O157:H7	bacteria
A0A494WDZ8_unrelaxed_rank_001_alphafold2_ptm_model_1_seed_000.pdb	A0A494WDZ8	2184265	Escherichia phage SP15	83334	Escherichia coli O157:H7	bacteria
L7SZ80_unrelaxed_rank_001_alphafold2_ptm_model_2_seed_000.pdb	L7SZ80	1093672	Pseudomonas phage JBD26	562	Escherichia coli	bacteria
L7THY9_unrelaxed_rank_001_alphafold2_ptm_model_1_seed_000.pdb	L7THY9	1273738	Escherichia phage PBECO4	1045010	Escherichia coli O157	bacteria
L7TI41_unrelaxed_rank_001_alphafold2_ptm_model_3_seed_000.pdb	L7TI41	1273738	Escherichia phage PBECO4	1045010	Escherichia coli O157	bacteria
L7TJS0_unrelaxed_rank_001_alphafold2_ptm_model_3_seed_000.pdb	L7TJS0	1273738	Escherichia phage PBECO4	1045010	Escherichia coli O157	bacteria
L7TJS2_unrelaxed_rank_001_alphafold2_ptm_model_4_seed_000.pdb	L7TJS2	1273738	Escherichia phage PBECO4	1045010	Escherichia coli O157	bacteria
