1389450	Bacteria	Candidatus Actinomarinales	cellular organisms;Bacteria;Bacillati;Actinomycetota;Actinomycetes;Candidatus Actinomarinidae;Candidatus Actinomarinales
3031653	Bacteria	Candidatus Adiutricales	cellular organisms;Bacteria;Pseudomonadati;Thermodesulfobacteriota;Desulfarculia;Candidatus Adiutricales
3127004	Bacteria	Candidatus Aeolococcales	cellular organisms;Bacteria;Bacillati;Candidatus Dormiibacterota;Candidatus Dormibacteria;Candidatus Aeolococcales
3090883	Bacteria	Candidatus Aminicenantales	cellular organisms;Bacteria;Bacteria incertae sedis;Bacteria candidate phyla;Candidatus Aminicenantota;Candidatus Aminicenantia;Candidatus Aminicenantales
3120134	Bacteria	Candidatus Amisiscales	cellular organisms;Bacteria;Bacteria incertae sedis;Bacteria candidate phyla;Patescibacteria group;Microgenomates group;Microgenomates group incertae sedis;Candidatus Amisiscales
2844882	Bacteria	Candidatus Anaeroferrophillales	cellular organisms;Bacteria;delta/epsilon subdivisions;Deltaproteobacteria;Candidatus Anaeroferrophillalia;Candidatus Anaeroferrophillales
2844883	Bacteria	Candidatus Anaeropigmentiales	cellular organisms;Bacteria;delta/epsilon subdivisions;Deltaproteobacteria;Candidatus Anaeropigmentia;Candidatus Anaeropigmentiales
3039674	Bacteria	Candidatus Ancaeobacterales	cellular organisms;Bacteria;Pseudomonadati;PVC group;Candidatus Auribacterota;Candidatus Ancaeobacteria;Candidatus Ancaeobacterales
2705056	Bacteria	Candidatus Anoxychlamydiales	cellular organisms;Bacteria;Pseudomonadati;PVC group;Chlamydiota;Chlamydiia;Candidatus Anoxychlamydiales
2900651	Bacteria	Candidatus Aquicultorales	cellular organisms;Bacteria;Bacillati;Actinomycetota;Candidatus Aquicultoria;Candidatus Aquicultorales
3712076	Bacteria	Candidatus Aridivitales	cellular organisms;Bacteria;Bacillati;Actinomycetota;Candidatus Aridivitia;Candidatus Aridivitales
3039692	Bacteria	Candidatus Auribacterales	cellular organisms;Bacteria;Pseudomonadati;PVC group;Candidatus Auribacterota;Candidatus Auribacteria;Candidatus Auribacterales
3377253	Bacteria	Candidatus Australimonadales	cellular organisms;Bacteria;Bacillati;Chloroflexota;Dehalococcoidia;Candidatus Australimonadales
2497644	Bacteria	Candidatus Babeliales	cellular organisms;Bacteria;Bacteria incertae sedis;Bacteria candidate phyla;Candidatus Babelota;Candidatus Babeliae;Candidatus Babeliales
3350157	Bacteria	Candidatus Benthobacterales	cellular organisms;Bacteria;Bacillati;Actinomycetota;Acidimicrobiia;Candidatus Benthobacterales
3345221	Bacteria	Candidatus Berkiellales	cellular organisms;Bacteria;Pseudomonadati;Pseudomonadota;Gammaproteobacteria;Candidatus Berkiellales
2785442	Bacteria	Candidatus Binatales	cellular organisms;Bacteria;Bacteria incertae sedis;Bacteria candidate phyla;Candidatus Binatota;Candidatus Binatia;Candidatus Binatales
3121608	Bacteria	Candidatus Bipolaricaulales	cellular organisms;Bacteria;Bacteria incertae sedis;Bacteria candidate phyla;Candidatus Bipolaricaulota;Candidatus Bipolaricaulia;Candidatus Bipolaricaulales
1127829	Bacteria	Candidatus Brocadiales	cellular organisms;Bacteria;Pseudomonadati;PVC group;Planctomycetota;Candidatus Brocadiia;Candidatus Brocadiales
1906150	Bacteria	Candidatus Caenarcanales	cellular organisms;Bacteria;Bacillati;Cyanobacteriota/Melainabacteria group;Candidatus Melainabacteria;Vampirovibriophyceae;Candidatus Caenarcanales
3403418	Bacteria	Candidatus Canglongiales	cellular organisms;Bacteria;Bacteria incertae sedis;Bacteria candidate phyla;Candidatus Canglongiota;Candidatus Canglongilia;Candidatus Canglongiales
3139175	Bacteria	Candidatus Chloroheliales	cellular organisms;Bacteria;Bacillati;Chloroflexota;Chloroflexia;Candidatus Chloroheliales
3039864	Bacteria	Candidatus Cloacimonadales	cellular organisms;Bacteria;Pseudomonadati;FCB group;Candidatus Cloacimonadota;Candidatus Cloacimonadia;Candidatus Cloacimonadales
2975284	Bacteria	Candidatus Comchoanobacterales	cellular organisms;Bacteria;Pseudomonadati;Pseudomonadota;Gammaproteobacteria;Candidatus Comchoanobacterales
3084974	Bacteria	Candidatus Competibacterales	cellular organisms;Bacteria;Pseudomonadati;Pseudomonadota;Gammaproteobacteria;Candidatus Competibacterales
3138245	Bacteria	Candidatus Costitxiales	cellular organisms;Bacteria;Pseudomonadati;FCB group;Bacteroidota/Chlorobiota group;Bacteroidota;Candidatus Costitxiia;Candidatus Costitxiales
2498707	Bacteria	Candidatus Cryosericales	cellular organisms;Bacteria;Pseudomonadati;Caldisericota/Cryosericota group;Candidatus Cryosericota;Candidatus Cryosericia;Candidatus Cryosericales
3082380	Bacteria	Candidatus Darwinibacteriales	cellular organisms;Bacteria;Bacillati;Bacillota;Clostridia;Candidatus Darwinibacteriales
2974935	Bacteria	Candidatus Deferrimicrobiales	cellular organisms;Bacteria;Candidatus Deferrimicrobiota;Candidatus Deferrimicrobia;Candidatus Deferrimicrobiales
3459757	Bacteria	Candidatus Desulfocorpusculales	cellular organisms;Bacteria;Pseudomonadati;Thermodesulfobacteriota;Candidatus Desulfocorpusculia;Candidatus Desulfocorpusculales
3031460	Bacteria	Candidatus Desulfofervidales	cellular organisms;Bacteria;Pseudomonadati;Thermodesulfobacteriota;Candidatus Desulfofervidia;Candidatus Desulfofervidales
